Name,TCG,Amazon,Spread,% Spread
Avatar of Woe ,25.31,2.58,-22.73,9.810077519
Millikin ,3,0.65,-2.35,4.615384615
Wood Elves,4,1.24,-2.76,3.225806452
Jund Panorama,1.89,0.65,-1.24,2.907692308
Star Compass,2.79,1.06,-1.73,2.632075472
Revel in Riches,7.86,3.1,-4.76,2.535483871
Kodama's Reach,5.95,2.4,-3.55,2.479166667
Eerie Interlude,3.98,1.7,-2.28,2.341176471
Primal Growth,2.49,1.07,-1.42,2.327102804
Crystal Vein,3.44,1.58,-1.86,2.17721519
Crux of Fate ,4.99,2.31,-2.68,2.16017316
Bident of Thassa,3.44,1.62,-1.82,2.12345679
Chandra's Ignition,2.84,1.39,-1.45,2.043165468
Bant Panorama,1.89,0.93,-0.96,2.032258065
Sylvan Offering ,5,2.68,-2.32,1.865671642
Surgical Extraction ,36.56,19.88,-16.68,1.839034205
Phyrexian Reclamation,6.98,3.83,-3.15,1.822454308
Castle Vantress,2.99,1.7,-1.29,1.758823529
Inventors' Fair ,5.5,3.33,-2.17,1.651651652
Hunter's Insight,5.98,3.65,-2.33,1.638356164
Chainer's Edict,1.99,1.22,-0.77,1.631147541
Reforge The Soul ,7.68,4.75,-2.93,1.616842105
Wastes  ,1.65,1.04,-0.61,1.586538462
Wastes  ,1.65,1.04,-0.61,1.586538462
Open The Armory ,3.23,2.1,-1.13,1.538095238
Blighted Woodland,1.11,0.74,-0.37,1.5
Urza's Tower,2.96,2,-0.96,1.48
Propaganda ,14.99,10.18,-4.81,1.472495088
Stroke of Genius,3.77,2.58,-1.19,1.46124031
Blighted Woodland ,0.94,0.65,-0.29,1.446153846
Darksteel Ingot,0.99,0.71,-0.28,1.394366197
Ruby Medallion ,12.98,9.34,-3.64,1.389721627
Dragonlair Spider ,0.99,0.72,-0.27,1.375
Song of the Dryads,12.99,9.58,-3.41,1.355949896
Ward of Bones,13.99,10.45,-3.54,1.338755981
Equilibrium,12.57,9.44,-3.13,1.331567797
Victimize,4.74,3.66,-1.08,1.295081967
Cabal Ritual ,7.96,6.18,-1.78,1.28802589
Ramunap Excavator,7,5.46,-1.54,1.282051282
Generous Gift,2.48,1.96,-0.52,1.265306122
Incendiary Command ,4.99,3.98,-1.01,1.253768844
Rishkar's Expertise ,4.44,3.58,-0.86,1.240223464
Twinflame ,1.32,1.07,-0.25,1.23364486
Master of Waves ,5.98,4.88,-1.1,1.225409836
Molten Psyche,2.33,1.91,-0.42,1.219895288
Toxic Deluge ,28.49,23.38,-5.11,1.218562874
Tithe,11.48,9.44,-2.04,1.216101695
Deadeye Navigator ,6.64,5.47,-1.17,1.213893967
Slayers' Stronghold ,1.12,0.93,-0.19,1.204301075
Wild Slash ,4.74,3.94,-0.8,1.203045685
Evolutionary Leap ,0.94,0.79,-0.15,1.189873418
Genesis Wave,5.21,4.4,-0.81,1.184090909
"Sram, Senior Edificer ",4.95,4.19,-0.76,1.181384248
Return to Dust,2.3,1.96,-0.34,1.173469388
The First Sliver,10.83,9.27,-1.56,1.16828479
Skyline Despot ,8.48,7.31,-1.17,1.16005472
Frantic Search,1.93,1.68,-0.25,1.148809524
Finale of Eternity,1.28,1.12,-0.16,1.142857143
Esper Panorama,1.21,1.06,-0.15,1.141509434
Birthing Pod,9.58,8.41,-1.17,1.139120095
Scrap Trawler ,0.84,0.74,-0.1,1.135135135
Castle Garenbrig,2.46,2.18,-0.28,1.128440367
Disrupt Decorum,9.49,8.43,-1.06,1.1257414
Enlightened Tutor,26.96,23.99,-2.97,1.123801584
Warped Landscape ,0.73,0.65,-0.08,1.123076923
Regal Behemoth ,7.49,6.68,-0.81,1.121257485
Pendrell Mists,4.47,3.99,-0.48,1.120300752
Lotus Cobra,11.99,10.78,-1.21,1.112244898
Swiftfoot Boots,2.99,2.69,-0.3,1.111524164
Constant Mists,6.91,6.22,-0.69,1.110932476
Phyrexian Altar,25.49,22.96,-2.53,1.110191638
Scavenging Ooze ,9.98,8.99,-0.99,1.110122358
Arcane Lighthouse ,4.45,4.03,-0.42,1.104218362
Blade of Selves ,15.26,13.88,-1.38,1.099423631
Blast Zone,3.27,2.99,-0.28,1.093645485
"Endrek Sahr, Master Breeder ",3.98,3.65,-0.33,1.090410959
Lotus Field,6.2,5.69,-0.51,1.089630931
